id,name,height_m,lat,lon,gridref,region
270,Sgiath Chuil,920.1,56.45276,-4.49629,NN462317,Glen Lyon to Glen Dochart & Loch Tay
271,An Socach (Affric),919.7,57.25715,-5.17072,NH088229,Loch Duich to Cannich
272,Gairich,918.8,57.04461,-5.25646,NN025995,Knoydart to Glen Kingie
273,Ruadh Stac Mor,918.7,57.72676,-5.32934,NH018756,Loch Maree to Loch Broom
274,Sgurr a' Mhadaidh,918.0,57.23121,-6.23281,NG446235,Minginish and the Cuillin Hills
275,Creag nan Damh,917.2,57.14772,-5.33498,NG983112,Glen Shiel to Loch Hourn and Loch Quoich
276,A' Ghlas-bheinn,917.1,57.25553,-5.30326,NH008231,Loch Duich to Cannich
277,Geal-chàrn (Drumochter),917.1,56.87435,-4.30442,NN596782,Loch Ericht to Glen Tromie & Glen Garry
278,Meall na Teanga,916.8,56.98885,-4.9305,NN220924,Loch Arkaig to Glen Moriston
279,Beinn a' Chleibh,916.3,56.39064,-4.83574,NN250256,Inveraray to Crianlarich
